med,sort,lat,lon
46902,Городские поликлиники,55.622874,37.501672
46903,Городские поликлиники,55.732325,37.463196
46904,Городские поликлиники,55.710089,37.395608
46905,Городские поликлиники,55.690218,37.532823
46906,Городские поликлиники,55.803338,37.487826
46907,Городские поликлиники,55.801598,37.611998
46908,Городские поликлиники,55.605092,37.529572
46909,Городские поликлиники,55.574621,37.582202
469010,Городские поликлиники,55.818176,37.857621
469011,Городские поликлиники,55.62967,37.597104
469012,Городские поликлиники,56.006133,37.798999
469013,Городские поликлиники,55.63378,37.742532
469014,Городские поликлиники,55.734555,37.414529
469015,Городские поликлиники,55.648469,37.404164
469016,Городские поликлиники,55.876661,37.51881
469017,Городские поликлиники,55.607199,37.73249
469018,Городские поликлиники,55.880028,37.692461
469019,Городские поликлиники,55.68179,37.576582
469020,Городские поликлиники,55.686226,37.579751
469021,Городские поликлиники,55.737357,37.529367
469022,Городские поликлиники,55.645092,37.738718
469023,Городские поликлиники,55.80758,37.556702
469024,Городские поликлиники,55.732965,37.676131
469025,Городские поликлиники,55.836588,37.525004
469026,Городские поликлиники,55.804197,37.542367
469027,Городские поликлиники,55.70265,37.639262
469028,Городские поликлиники,55.672791,37.652626
469029,Городские поликлиники,55.679137,37.517872
469030,Городские поликлиники,55.818176,37.857621
469031,Городские поликлиники,55.664088,37.526981
469032,Городские поликлиники,55.766928,37.647468
469033,Городские поликлиники,55.861055,37.616691
469034,Городские поликлиники,55.534629,37.524006
469035,Городские поликлиники,55.86704,37.657505
469036,Городские поликлиники,55.88059,37.6925
469037,Городские поликлиники,55.812273,37.790903
469038,Городские поликлиники,55.585908,37.690381
469039,Городские поликлиники,55.895819,37.595259
469040,Городские поликлиники,55.649256,37.6106
469041,Городские поликлиники,55.689195,37.491982
469042,Городские поликлиники,55.643353,37.405035
469043,Городские поликлиники,55.948189,37.349863
469044,Городские поликлиники,55.722732,37.789541
469045,Городские поликлиники,55.697064,37.847299
469046,Городские поликлиники,55.813685,37.574427
469047,Городские поликлиники,55.833714,37.524413
469048,Городские поликлиники,55.674085,37.746833
469049,Городские поликлиники,55.625743,37.663377
469050,Городские поликлиники,55.719439,37.458583
469051,Городские поликлиники,55.782091,37.577268
469052,Городские поликлиники,55.784806,37.732853
469053,Городские поликлиники,55.70265,37.639262
469054,Городские поликлиники,55.763032,37.710474
469055,Городские поликлиники,55.729608,37.664774
469056,Городские поликлиники,55.671402,37.593077
469057,Городские поликлиники,55.624761,37.313144
469058,Городские поликлиники,55.474191,37.536811
469059,Городские поликлиники,55.631651,37.522519
469060,Городские поликлиники,55.889326,37.561921
469061,Городские поликлиники,55.86531,37.538837
469062,Городские поликлиники,55.663717,37.644753
469063,Городские поликлиники,55.864938,37.437393
469064,Городские поликлиники,55.597667,37.618923
469065,Городские поликлиники,55.826163,37.658852
469066,Городские поликлиники,55.809404,37.642583
469067,Городские поликлиники,55.643217,37.541148
469068,Городские поликлиники,55.715713,37.746334
469069,Городские поликлиники,55.598752,37.587203
469070,Городские поликлиники,55.541143,37.507098
469071,Городские поликлиники,55.82263,37.755701
469072,Городские поликлиники,55.985202,37.184941
469073,Городские поликлиники,55.500572,37.485335
469074,Городские поликлиники,55.475811,37.544044
469075,Городские поликлиники,55.431223,37.275251
469076,Городские поликлиники,55.47178,36.897316
469077,Городские поликлиники,55.534627,37.162332
469078,Городские поликлиники,55.518665,37.224774
469079,Городские поликлиники,55.631833,37.458897
469080,Городские поликлиники,55.604955,37.170882
469081,Городские поликлиники,55.984612,37.237658
469082,Городские поликлиники,55.772177,37.488026
469083,Городские поликлиники,55.513174,37.527745
469084,Городские поликлиники,55.504558,37.570298
469085,Городские поликлиники,55.984673,37.163685
469086,Городские поликлиники,55.894137,37.391242
469087,Городские поликлиники,55.648437,37.609696
469088,Городские поликлиники,55.638846,37.339952
469089,Городские поликлиники,55.845159,37.488566
469090,Городские поликлиники,55.764155,37.644206
469091,Городские поликлиники,55.785891,37.592771
469092,Городские поликлиники,55.676228,37.499427
469093,Городские поликлиники,55.852274,37.66275
469094,Городские поликлиники,55.373052,37.378227
