date,infl
2025-07-01,1.0
2025-08-01,1.0019
2025-09-01,1.0097
2025-10-01,1.013
2025-11-01,1.015
2025-12-01,1.020
2026-01-01,1.092
2026-02-01,1.094
2026-03-01,1.103
2026-04-01,1.105
2026-05-01,1.107
2026-06-01,1.117
2026-07-01,1.119
2026-08-01,1.121
2026-09-01,1.131
2026-10-01,1.133
2026-11-01,1.135
2026-12-01,1.144
2027-01-01,1.146
2027-02-01,1.148
2027-03-01,1.158
2027-04-01,1.159
2027-05-01,1.161
2027-06-01,1.171
2027-07-01,1.173
2027-08-01,1.175
2027-09-01,1.185
2027-10-01,1.187
2027-11-01,1.188
2027-12-01,1.198
2028-01-01,1.200
2028-02-01,1.202
2028-03-01,1.213
2028-04-01,1.214
2028-05-01,1.215
2028-06-01,1.226
2028-07-01,1.228
2028-08-01,1.229
2028-09-01,1.240
2028-10-01,1.242
2028-11-01,1.243
2028-12-01,1.254
2029-01-01,1.256
2029-02-01,1.258
2029-03-01,1.268
2029-04-01,1.270
2029-05-01,1.272
2029-06-01,1.282
