edu,sort,lat,lon
77a790f3-ee2d-49d3-979d-d9667d16c748,Школы,55.665437,37.751238
49a99c9a-f68a-42ce-bb0e-5d507c09cc35,Школы,55.80584,37.822482
93939c73-6207-443e-939f-dd24176e3e08,Школы,55.790405,37.521049
706a6332-1af3-48bf-a437-da5d1fec2abd,Школы,55.887153,37.391961
135135,Школы,55.612708,37.384725
3976f660-1f69-4cc3-99e1-3fc3954e8302,Школы,55.58142,37.68905
f685d308-1365-4941-8403-a061fbd21e2e,Школы,55.791951,37.713114
6717f6da-c92a-49ed-be61-a954ffa5c70d,Школы,55.769084,37.632855
f678c82f-3224-4fef-b049-487fd15639c4,ОК,55.42677,36.870042
1ea78b83-b041-482b-b007-f6c81bbe01dc,Школы,55.793121,37.68523
b2e678c6-ed6f-45b9-9db7-5118e0298121,Школы,55.782551,37.570037
d09afe20-1062-4681-ab55-431f69c05cf2,Школы,55.677482,37.446
67e6233c-3be1-429b-85c7-1e858ac19c16,Школы,55.994338,37.222255
1bddf805-8b9e-4c6e-a1e5-f870e271661f,Школы,55.592624,37.102384
9cd9f9f8-e26a-43c7-ab08-6d43dddcce8e,Школы,55.786159,37.685401
336aafa2-2c37-4d64-9e61-b0b8576f7709,Школы,55.874502,37.520677
6997013b-c8ad-4dc7-9f7a-3261095d1845,Школы,55.52215,37.212978
169aa470-1e24-4ff5-8dc1-4cd96ef8ebdb,Школы,55.764728,37.633648
8e1a722e-2dc7-4096-86c2-dcb98480b2e7,Школы,55.62284,37.310468
0bce2193-ba1d-4731-8146-f07ee0af2115,Школы,55.741487,37.603495
16e661ad-469c-4c9e-abe9-bcd807298ab1,Школы,55.85104,37.350994
621af789-fdd5-4ccd-90da-3b9b15f357e3,Школы,55.904286,37.382577
9cd75309-a8f5-4bc8-bc79-fa5cacc94e52,Школы,55.904134,37.382026
1e24e36a-42a3-4642-bbe2-5fa11c88f688,Школы,55.763294,37.737817
13309912-bada-4325-a2fd-bebc456d6b63,Школы,55.926788,37.542799
164cdc3a-9b8f-486a-8ce7-544e9cd47ea2,Школы,55.675343,37.753357
f324ea79-e42c-4f93-a9f6-14ed791c4918,Школы,55.820961,37.516773
ca42a984-aa67-41d9-a6a2-31933654c4f6,Школы,55.800177,37.693587
c58d9e91-0e1d-4970-8d00-a497678519da,Школы,55.785153,37.596998
df4a57ff-3f1b-4f8a-ac8f-39b9575d67e5,Школы,55.769726,37.374942
15482a87-dac1-414a-af04-29b6fc449432,Школы,55.827743,37.461872
10741076,Школы,55.840796,37.515656
11561158,ДОО,55.794146,37.401839
139157a4-1a2f-4e14-a8b2-0c71e5f525fb,ОК,55.783941,37.465764
23997626-1e30-43fe-838b-7de1d4bd9c09,Школы,55.790013,37.470542
985aa892-ff8b-4feb-99e7-4b1889b6c409,Школы,55.771655,37.471011
b7db6d39-5ad0-40a4-8f75-7dcce6eb8356,Школы,55.770784,37.47077
092bb870-20b4-4b95-8f33-e321e59f4d63,Школы,55.680671,37.484517
440440,Школы,55.866531,37.670194
560562,Школы,55.862733,37.427171
600602,Школы,55.474585,37.305701
377e8706-f512-4367-98d1-86615340cc76,Школы,55.728742,37.484615
963965,ОК,55.57485,37.480633
54958864-ff9c-4f46-973a-f8958d0d7212,Школы,55.704941,37.490358
902904,ОК,55.688813,37.669576
fce30107-c83b-4541-b29a-db1d60492299,Школы,55.786615,37.493719
35046319-7597-4de1-9e3a-a2b367d0a2a1,Школы,55.737714,37.494935
98cf74fe-b0a7-4cf0-aa74-579a62fe387f,Школы,55.685083,37.526131
145995,Школы,55.785873,37.458773
299299,Школы,55.628412,37.674667
877879,ДОО,55.853877,37.712669
927929,ДОО,55.788354,37.584363
2b357f1d-8cbf-456c-8f48-f52b402f2284,Школы,55.671607,37.523727
9ff503ec-205c-443c-926f-b63df442fa68,Школы,55.805237,37.590751
10011003,ОК,55.627242,37.31662
10061434,Школы,55.827171,37.651755
10141016,ОК,55.807098,37.761587
10181020,ОК,55.584215,37.64248
1025692,ДОО,55.675668,37.454818
1031649,ДОО,55.644562,37.368861
1032647,Школы,55.642616,37.371617
10561058,Школы,55.690106,37.465345
1059842,ДОО,55.665958,37.45428
106106,Школы,55.932986,37.348397
11161118,ДОО,55.707053,37.932284
1116316,Школы,55.73702,37.861702
1121305,ДОО,55.736818,37.860322
1122306,ДОО,55.739038,37.852539
1131320,Школы,55.733171,37.860512
1133279,ДОО,55.751229,37.807286
1139395,ДОО,55.799244,37.720373
1141408,Школы,55.806256,37.810636
1152528,Школы,55.741151,37.550162
11531155,ОК,55.64596,37.601349
1157543,ДОО,55.757509,37.414344
1169493,Школы,55.807893,37.686974
11753050,ДОО,55.602207,37.711287
11783057,ДОО,55.602355,37.743042
1188182,ДОО,55.777999,37.835671
12063267,ДОО,55.702725,37.809849
119119,ОК,55.644831,37.377049
1191178,ДОО,55.766286,37.837498
11922292,Школы,55.212982,37.074719
11981200,ОК,55.607567,37.263819
12071209,ДОО,55.780033,37.664307
1207565,ДОО,55.728599,37.427256
12131215,ОК,55.664627,37.46325
1223257,Школы,55.713754,37.896247
12301232,ДОО,55.507526,37.332411
1224245,ДОО,55.718144,37.894533
12281230,Школы,55.603571,37.344942
12811283,ОК,55.971107,37.194678
12291231,ДОО,55.4545,37.285154
1229271,Школы,55.829152,37.761218
12302329,ДОО,55.569956,37.471459
12411243,Школы,55.675454,37.57833
125125,ОК,55.693291,37.713446
12543739,Школы,55.687728,37.550617
126126,ОК,55.694749,37.714506
12631265,ОК,55.841438,37.499155
12691271,ОК,55.645429,37.628329
12761278,Школы,55.698606,37.694325
128775,ДОО,55.656326,37.411744
131131,ОК,55.748948,37.759536
132802,ДОО,55.647619,37.403879
13211,ДОО,55.815766,37.71932
13274050,ДОО,55.677173,37.558805
13783842,ДОО,55.634004,37.53763
136794,Школы,55.657814,37.390576
13313787,ДОО,55.649368,37.581539
135797,Школы,55.648894,37.383328
13531356,ОК,55.579162,37.435275
13591362,ДОО,55.53178,37.361473
13592375,Школы,55.514864,37.531493
13711374,Школы,55.932319,37.371318
13781381,ДОО,55.556631,37.411983
13791382,ДОО,55.552726,37.412607
13793847,ДОО,55.650156,37.527962
13821385,ОК,55.489828,36.922181
13841387,ОК,55.58243,37.160274
13853836,Школы,55.645672,37.535586
139139,ДОО,55.691722,37.657644
139875,ДОО,55.731159,37.466638
14131416,ОК,55.463193,37.361118
13913882,Школы,55.674786,37.528931
13923883,Школы,55.672105,37.534048
13933426,Школы,55.648139,37.756856
14001403,Школы,55.500688,37.405586
14063869,ДОО,55.688143,37.598348
141141,ОК,55.609993,37.660493
14141417,Школы,55.876277,37.629523
14173920,Школы,55.671435,37.523568
14241427,Школы,55.769553,37.519663
14262199,ДОО,55.316701,37.177451
14553730,Школы,55.691563,37.545007
14301433,ОК,55.714671,37.634613
14331436,Школы,55.716249,37.629095
14363699,ДОО,55.680942,37.575892
14583060,Школы,55.605599,37.730139
146146,ДОО,55.736718,37.743201
146868,Школы,55.725758,37.455523
14672201,ДОО,55.313215,37.183937
14692181,Школы,55.632048,37.268818
9791320,Школы,55.805746,37.500523
14752116,Школы,55.778677,37.481657
14893720,ДОО,55.704512,37.579028
15082111,ДОО,55.7706,37.491075
151151,ОК,55.751887,37.771438
15103769,ДОО,55.643289,37.601739
15133340,ДОО,55.744396,37.720372
15143298,ДОО,55.705881,37.774875
15212210,ДОО,55.51699,37.350748
153153,ОК,55.821009,37.420328
15392604,Школы,55.76902,37.603152
