УИН,количество этажей всего,высота объекта,Этажность объекта подземная,Этажность объекта наземная,Количество квартир,Общая площадь объекта,Площадь жилых помещений объекта,lon,lat,pricemetr,metroprox,rwprox,medprox,kidprox,schoolprox,cemetprox,industrprox,liveratio,highratio
HI5166-10-0002-001,17.0,58.97,1.0,16.0,1101.0,107695.9,64450.8,37.506741894768226,55.55647512501328,0.19259075366858946,0.020786182167498782,0.045098028590662344,0.014501871883554876,0.002531980407355668,0.006515875326533585,0.049614918242566086,0.0585664082377555,0.5984517516451416,3.685625
HH8021-99-0001-001,23.0,79.8,1.0,22.0,910.0,111877.8,66368.7,37.59844445518816,55.79807338717538,0.4539090044643153,0.011131340530131397,0.011882902053548642,0.0028473050734813712,0.009180670027004883,0.0033891452355185167,0.005141219769975281,0.004969173048683439,0.5932249293425504,3.627272727272727
HI1612-10-0002-001,23.0,72.09,1.0,22.0,1024.0,96261.0,56120.1,37.38629718872368,55.64579852660503,0.2388824597518206,0.006106176130985007,0.020074777408878034,0.010732472135338188,0.0017461430573774445,0.00402295457085521,0.016110510664658705,0.013042552273319023,0.5829993455293421,3.276818181818182
GI4848-10-0001-001,11.0,33.77,1.0,10.0,156.0,9869.51,6902.17,37.16558148210646,55.585070952710325,0.2251723755480452,0.1764331407000101,0.01219943848433856,0.0062632984729340735,0.0040867399985061136,0.006083797439161012,0.02060970529382542,0.14650951011553132,0.6993427231949711,3.3770000000000002
HG5775-10-0001-001,33.0,99.93,1.0,32.0,1485.0,99309.7,60153.5,37.50491296844835,55.879040814580236,0.29065786907821506,0.024075662006753786,0.013808659370944651,0.0019575827370603336,0.0011214673353039152,0.0016026240464548924,0.0131970659576824,0.004964604857513904,0.6057162593382117,3.1228125
HH7774-10-0003-001,20.0,79.9,2.0,18.0,561.0,89734.6,45387.8,37.593165150710945,55.71077788540968,0.7783084618095749,0.0076383873091142454,0.008274002138175179,0.011967180416623847,0.00479227072634481,0.003744232959792837,0.008485628335719423,0.03098948849462555,0.505800438181036,4.438888888888889
HG5071-10-0001-001,33.0,99.58,1.0,32.0,667.0,39941.0,26416.5,37.501095452060554,55.88093275957823,0.30707048394562925,0.020431798007110966,0.01025084633036059,0.006192297841081115,0.001255050132630387,0.002659435745370496,0.009200938322863512,0.002125314999011391,0.6613880473698706,3.111875
HI3573-10-0001-001,17.0,52.57,1.0,16.0,1069.0,56520.5,43681.2,37.46016101781407,55.541453724034156,0.23050987434584225,0.020661154740302855,0.056313982488765,0.018035617134564887,0.005973439469542109,0.00435828293530896,0.020252696509238204,0.08558368435205747,0.7728381737599631,3.285625
HG4794-10-0001-001,33.0,99.86,1.0,33.0,611.0,51526.2,29656.7,37.491233009635096,55.84212810865445,0.34224898072833493,0.004973401035022558,0.01735566253122929,0.0037565117454687173,0.0023463538065452367,0.00755377877146505,0.011610643233665428,0.007204921968442661,0.5755654404943505,3.026060606060606
IH2034-10-0001-001,27.0,85.95,1.0,27.0,714.0,54042.7,37733.5,37.734970439468626,55.77574899319261,0.32278983224241603,0.01563666654518731,0.0106120253752984,0.00930123229537431,0.00013096385642725867,0.0008607156814172163,0.022370847507506366,0.01971279603450893,0.6982164103569956,3.1833333333333336
II2432-10-0001-001,29.0,94.475,1.0,28.0,162.0,15642.6,11216.6,37.74847443929061,55.6131227841878,0.27412592144114406,0.003412876471326535,0.05356594424091647,0.0022390726719844194,0.00315644509963145,0.0038403025709687175,0.020205695849987007,0.04519282426701008,0.7170547095751346,3.3741071428571425
HG9199-10-0001-001,51.0,176.0,2.0,49.0,981.0,96784.7,66919.1,37.63909687870415,55.835003027692224,0.47607852550725965,0.009881126984373961,0.012581865991069177,0.01023528051101198,0.0009074196894684161,0.00417535347594732,0.0105817686111317,0.02548586125039089,0.6914223012521608,3.5918367346938775
HI4444-10-0001-001,18.0,54.91,1.0,17.0,1033.0,65316.5,41173.5,37.48370194651828,55.591199238376404,0.2455422209303824,0.03320152538205972,0.0833626445175116,0.02368000218768257,0.013113900312783252,0.014508976221603746,0.03494599160941094,0.03149729141584062,0.6303690491682806,3.23
HH3272-06-0002-001,20.0,75.85,1.0,19.0,308.0,37035.6,22982.9,37.44201498437447,55.71305164546145,0.48077629723337834,0.018077628042088973,0.014388159319059226,0.013268097971755993,0.005922560958394204,0.003164617550872136,0.022319826100757983,0.022448843069434312,0.6205623778202595,3.9921052631578946
HI5470-10-0001-001,32.0,98.1,2.0,30.0,539.0,49620.1,30814.1,37.51723789104318,55.549230789207805,0.25073530308749337,0.011105619236439407,0.03881243996179244,0.004152317531543089,0.002142112308207754,0.004947466769444348,0.051730228676677155,0.05715241880123778,0.6210003607409095,3.27
HH7391-10-0002-001,14.0,48.1,1.0,13.0,204.0,21207.9,12751.0,37.577667551059115,55.67961627806549,0.3156371076904947,0.009183938951680973,0.02466935147621649,0.002429709478624201,0.0022158791057190767,0.004214664552928144,0.036487894529023936,0.005263372424912422,0.6012382178339203,3.7
GI9919-10-0002-001,26.0,80.96,1.0,26.0,1406.0,93434.4,66148.2,37.32846469699158,55.63350567673891,0.23506341263279634,0.006641791614991135,0.0024619364882208644,0.011931755773404959,0.002262558463016524,0.002211587035382239,0.049532218588412995,0.017871447741362456,0.7079640903136318,3.1138461538461537
HH9293-10-0001-001,35.0,99.96,2.0,33.0,1312.0,89768.4,52921.6,37.63996117921784,55.675661051652604,0.3284998811655992,0.019009199417013685,0.02138474847202984,0.01286941786905857,0.001840900258393713,0.0033111875347263753,0.041806022205357764,0.0033062781398054083,0.5895348474518873,3.029090909090909
HH6323-10-0001-001,42.0,149.99,2.0,40.0,391.0,46460.2,31518.3,37.5407228087331,55.79341123540508,0.5237630910793281,0.010173880523065002,0.010893220119780268,0.008438810114643272,0.005732421192204059,0.00510170136128942,0.030449856652622724,0.011829096775716912,0.6783935497479563,3.74975
HH5144-10-0002-001,29.0,99.5,2.0,27.0,782.0,118930.0,68696.8,37.50790604980352,55.759261937401305,0.45656224393524697,0.01484724866527314,0.016058236413586367,0.0010339497329795954,0.006987149852172076,0.005389483897384298,0.0440621076956778,0.008810060898805276,0.5776238123265787,3.685185185185185
HI9113-10-0001-001,18.0,55.98,1.0,17.0,650.0,44942.4,26672.6,37.64067723332436,55.645453214741416,0.3092616952372045,0.012535752072280866,0.023168093956483178,0.008690625107371534,0.0015836501161469638,0.0073656768963577725,0.024976133020456138,0.009009283059567138,0.5934841040976895,3.2929411764705883
HI1357-10-0001-001,9.0,26.95,1.0,8.0,696.0,76382.4,36736.3,37.38428313219653,55.57138318943309,0.23719001010267612,0.03800443573276039,0.07080333454351141,0.023097667589041193,0.017370124397827598,0.021371437163018897,0.016986574036819357,0.06275060837146043,0.4809524183581559,3.36875
IH2163-10-0001-001,30.0,94.0,1.0,30.0,628.0,47224.4,32671.8,37.73778829552391,55.72731228829596,0.26455565113512175,0.00912529442421098,0.007489901710205389,0.00817913636294467,0.0025545084176908854,0.0039029621572315063,0.04905409874536196,0.005038019881304098,0.691841505662327,3.1333333333333333
HH0327-10-0001-001,14.0,51.0,1.0,13.0,231.0,47311.11,25377.77,37.343986881079935,55.78766559666742,0.5124091038841205,0.03775274639642766,0.03681669715614342,0.0065618525044551885,0.00464526703509094,0.0034663397592539723,0.02312886087423494,0.005817561520306267,0.5364019148990586,3.923076923076923
HG6382-10-0001-003,40.0,129.91,1.0,40.0,1128.0,89424.64,54422.24,37.54537090552791,55.86301455710592,0.36236637853752235,0.0040267585292929784,0.013813298385784782,0.004365591024753065,0.0033109693324630124,0.0015340572974258731,0.04903882961942538,0.01752385102290775,0.6085821536435595,3.24775
